Type,Amount,order,order2,sorting
Steel,1,3 unit,3 moving,0
Steel,1,3 crossing,-,0
Steel,1,3 unit,4 moving,0
Steel,1,5 moving,-,0
Steel,1,castle,-,0
Steel,1,3 unit,-,0
Steel,1,4 moving,-,0
Steel,1,3 unit,-,0
Wood,1,2 unit,3 moving,0
Wood,1,castle,-,0
Wood,1,delete,castle,0
Wood,1,3 unit,-,0
Wood,1,3 crossing,-,0
Wood,1,4 crossing,-,0
Wood,1,3 moving,-,0
carrot,1,castle,-,0
carrot,1,4 moving,-,0
carrot,1,3 crossing,-,0
carrot,1,delete and 1 unit,-,0
carrot,1,castle,-,0
carrot,1,5 moving,-,0
carrot,1,4 moving,-,0
2carrot,1,3 unit,-,0
carrot,1,3 unit,-,0
orb,1,2 crossing,-,0
orb,1,3 crossing,-,0
orb,1,2 moving,-,0
orb,1,3 unit,-,0
orb,1,3 unit,-,0
orb,1,2 unit,-,0
ruby,1,1 unit,-,0
ruby,1,2 unit,-,0
ruby,1,2 moving,-,0
ruby,1,2 unit,-,0
boat,1,2 crossing,-,0
boat,1,2 crossing,-,0
